,Neighbourhood Cleansed,Bedrooms,Beds,Price,Number of Reviews,Review Scores Rating,classes of rating,class of price,predictors
8,Chinatown,1,1,140,16,88,Low,Good,"[('n03388549', 'four-poster', 0.58269006), ('n04033995', 'quilt', 0.27242553), ('n04344873', 'studio_couch', 0.13935302), ('n04550184', 'wardrobe', 0.0020462696), ('n04590129', 'window_shade', 0.0009600784), ('n03788365', 'mosquito_net', 0.0005848493), ('n03131574', 'crib', 0.0004253157), ('n03201208', 'dining_table', 0.0002880032), ('n04040759', 'radiator', 0.00027391448), ('n02870880', 'bookcase', 0.000104839695)]"
10,Chinatown,1,1,69,6,100,High,Bad,"[('n03388549', 'four-poster', 0.62589014), ('n04344873', 'studio_couch', 0.12376237), ('n04550184', 'wardrobe', 0.08410277), ('n03529860', 'home_theater', 0.045114785), ('n04239074', 'sliding_door', 0.03807682), ('n04429376', 'throne', 0.015818771), ('n04201297', 'shoji', 0.010116486), ('n02870880', 'bookcase', 0.0074611073), ('n03290653', 'entertainment_center', 0.0061165206), ('n03788365', 'mosquito_net', 0.0052387523)]"
11,Chinatown,1,1,100,15,95,High,Bad,"[('n03388549', 'four-poster', 0.7332033), ('n04344873', 'studio_couch', 0.21478938), ('n04239074', 'sliding_door', 0.012025433), ('n04550184', 'wardrobe', 0.00700794), ('n03788365', 'mosquito_net', 0.0058931736), ('n03529860', 'home_theater', 0.004418226), ('n04201297', 'shoji', 0.0029122701), ('n04429376', 'throne', 0.0027112486), ('n02870880', 'bookcase', 0.0025621015), ('n04590129', 'window_shade', 0.0017443942)]"
13,Chinatown,2,2,325,7,63,Low,Good,"[('n03388549', 'four-poster', 0.55744755), ('n03529860', 'home_theater', 0.10912757), ('n04404412', 'television', 0.092387155), ('n03290653', 'entertainment_center', 0.069294825), ('n04590129', 'window_shade', 0.021961333), ('n03179701', 'desk', 0.019717615), ('n04344873', 'studio_couch', 0.018358063), ('n03201208', 'dining_table', 0.016245617), ('n03347037', 'fire_screen', 0.008315248), ('n04033995', 'quilt', 0.0062561207)]"
15,Chinatown,1,1,200,3,100,High,Good,"[('n03388549', 'four-poster', 0.6171982), ('n04344873', 'studio_couch', 0.24725379), ('n04239074', 'sliding_door', 0.030789504), ('n04033995', 'quilt', 0.010858064), ('n04493381', 'tub', 0.0097299125), ('n03529860', 'home_theater', 0.008390253), ('n04201297', 'shoji', 0.0071257493), ('n02870880', 'bookcase', 0.0063185934), ('n03788365', 'mosquito_net', 0.00581939), ('n02808440', 'bathtub', 0.0057671363)]"
27,Chelsea,1,1,120,0,93,High,Good,"[('n04033995', 'quilt', 0.83516675), ('n04344873', 'studio_couch', 0.13968715), ('n04380533', 'table_lamp', 0.007791316), ('n03388549', 'four-poster', 0.0071276017), ('n03938244', 'pillow', 0.00500393), ('n03131574', 'crib', 0.0015980166), ('n03637318', 'lampshade', 0.00070963445), ('n03201208', 'dining_table', 0.00046326674), ('n04590129', 'window_shade', 0.00037871755), ('n03788365', 'mosquito_net', 0.00031956186)]"
35,Chelsea,1,1,120,204,96,High,Good,"[('n03388549', 'four-poster', 0.98643595), ('n04344873', 'studio_couch', 0.00450908), ('n03788365', 'mosquito_net', 0.0026138846), ('n04033995', 'quilt', 0.0016382375), ('n04590129', 'window_shade', 0.00076245156), ('n04550184', 'wardrobe', 0.00072941213), ('n03201208', 'dining_table', 0.00031520912), ('n04081281', 'restaurant', 0.00025201726), ('n04239074', 'sliding_door', 0.00024998118), ('n04429376', 'throne', 0.00023948147)]"
38,Chelsea,3,3,750,18,87,Low,Good,"[('n03388549', 'four-poster', 0.72056895), ('n04239074', 'sliding_door', 0.14156553), ('n04201297', 'shoji', 0.03885508), ('n04590129', 'window_shade', 0.027481498), ('n03529860', 'home_theater', 0.02095101), ('n04344873', 'studio_couch', 0.019092858), ('n03290653', 'entertainment_center', 0.0054484946), ('n04550184', 'wardrobe', 0.0054419623), ('n03018349', 'china_cabinet', 0.005197909), ('n03452741', 'grand_piano', 0.0033824183)]"
41,Chelsea,0,1,229,11,98,High,Good,"[('n03388549', 'four-poster', 0.6487304), ('n04550184', 'wardrobe', 0.102713674), ('n04344873', 'studio_couch', 0.06865115), ('n03018349', 'china_cabinet', 0.021524187), ('n03290653', 'entertainment_center', 0.014850733), ('n04239074', 'sliding_door', 0.013533215), ('n03201208', 'dining_table', 0.011630346), ('n04201297', 'shoji', 0.010287519), ('n02870880', 'bookcase', 0.0097222915), ('n03529860', 'home_theater', 0.007580095)]"
70,East Village,1,2,192,47,78,Low,Good,"[('n03388549', 'four-poster', 0.71673805), ('n04590129', 'window_shade', 0.1354537), ('n04344873', 'studio_couch', 0.08777392), ('n04033995', 'quilt', 0.021468403), ('n03788365', 'mosquito_net', 0.010117115), ('n04550184', 'wardrobe', 0.0060897483), ('n03529860', 'home_theater', 0.0028566967), ('n03637318', 'lampshade', 0.0020057075), ('n04380533', 'table_lamp', 0.0018311545), ('n03032252', 'cinema', 0.0015189465)]"
